champ name,index
Jinx,0
Lucian,1
Tristana,2
Missfortune,3
Caitlyn,4
Kaisa,5
Ezreal,6
Jhin,7
Varus,8
Draven,9
Zeri,10
Xayah,11
Azir,12
Bard,13
Belveth,14
Blitzcrank,15
Brand,16
Braum,17
Briar,18
Annie,19
Camille,20
Cassiopeia,21
Chogath,22
Corki,23
Darius,24
Diana,25
Aphelios,26
Drmundo,27
Ekko,28
Elise,29
Evelynn,30
Akali,31
Fiddlesticks,32
Fiora,33
Fizz,34
Galio,35
Gangplank,36
Garen,37
Gnar,38
Gragas,39
Graves,40
Gwen,41
Hecarim,42
Heimerdinger,43
Hwei,44
Illaoi,45
Irelia,46
Ivern,47
Janna,48
Jarvaniv,49
Jax,50
Jayce,51
Akshan,52
No ban,53
Ahri,54
Kalista,55
Karma,56
Karthus,57
Kassadin,58
Katarina,59
Kayle,60
Kayn,61
Kennen,62
Khazix,63
Kindred,64
Kled,65
Kogmaw,66
Ksante,67
Leblanc,68
Leesin,69
Leona,70
Lillia,71
Lissandra,72
Aatrox,73
Lulu,74
Lux,75
Malphite,76
Malzahar,77
Maokai,78
Masteryi,79
Milio,80
Anivia,81
Wukong,82
Mordekaiser,83
Morgana,84
Naafiri,85
Nami,86
Nasus,87
Nautilus,88
Neeko,89
Nidalee,90
Nilah,91
Nocturne,92
Nunuwillump,93
Olaf,94
Orianna,95
Ornn,96
Pantheon,97
Poppy,98
Pyke,99
Qiyana,100
Quinn,101
Rakan,102
Rammus,103
Reksai,104
Rell,105
Renataglasc,106
Renekton,107
Rengar,108
Riven,109
Rumble,110
Ryze,111
Samira,112
Sejuani,113
Senna,114
Seraphine,115
Sett,116
Shaco,117
Shen,118
Shyvana,119
Singed,120
Sion,121
Sivir,122
Skarner,123
Smolder,124
Sona,125
Soraka,126
Swain,127
Sylas,128
Syndra,129
Tahmkench,130
Taliyah,131
Talon,132
Taric,133
Teemo,134
Thresh,135
Amumu,136
Trundle,137
Tryndamere,138
Twistedfate,139
Twitch,140
Udyr,141
Urgot,142
Alistar,143
Vayne,144
Veigar,145
Velkoz,146
Vex,147
Vi,148
Viego,149
Viktor,150
Vladimir,151
Volibear,152
Warwick,153
Aurelionsol,154
Xerath,155
Xinzhao,156
Yasuo,157
Yone,158
Yorick,159
Yuumi,160
Zac,161
Zed,162
Ashe,163
Ziggs,164
Zilean,165
Zoe,166
Zyra,167
Aurora,168
Ambessa,169
Mel,170
